Date,Campaign_Name,Product_Category,Ad_Spend
2024-01-01,Beauty_20240101,Beauty,31.3
2024-01-01,Books_20240101,Books,26.65
2024-01-01,Electronics_20240101,Electronics,0.0
2024-01-01,Fashion_20240101,Fashion,161.94
2024-01-01,Grocery_20240101,Grocery,10.76
2024-01-01,Home_Kitchen_20240101,Home & Kitchen,0.0
2024-01-01,Sports_20240101,Sports,0.0
2024-01-01,Toys_20240101,Toys,0.0
2024-01-02,Beauty_20240102,Beauty,67.42
2024-01-02,Books_20240102,Books,17.71
2024-01-02,Electronics_20240102,Electronics,391.2
2024-01-02,Fashion_20240102,Fashion,65.54
2024-01-02,Grocery_20240102,Grocery,13.71
2024-01-02,Home_Kitchen_20240102,Home & Kitchen,0.0
2024-01-02,Sports_20240102,Sports,92.7
2024-01-02,Toys_20240102,Toys,25.86
2024-01-03,Beauty_20240103,Beauty,14.65
2024-01-03,Books_20240103,Books,26.91
2024-01-03,Electronics_20240103,Electronics,149.33
2024-01-03,Fashion_20240103,Fashion,97.93
2024-01-03,Grocery_20240103,Grocery,0.0
2024-01-03,Home_Kitchen_20240103,Home & Kitchen,5.36
2024-01-03,Sports_20240103,Sports,200.72
2024-01-03,Toys_20240103,Toys,81.54
2024-01-04,Beauty_20240104,Beauty,0.0
2024-01-04,Books_20240104,Books,22.46
2024-01-04,Electronics_20240104,Electronics,48.44
2024-01-04,Fashion_20240104,Fashion,107.77
2024-01-04,Grocery_20240104,Grocery,0.0
2024-01-04,Home_Kitchen_20240104,Home & Kitchen,91.86
2024-01-04,Sports_20240104,Sports,36.01
2024-01-04,Toys_20240104,Toys,34.09
2024-01-05,Beauty_20240105,Beauty,27.15
2024-01-05,Books_20240105,Books,4.9
2024-01-05,Electronics_20240105,Electronics,383.32
2024-01-05,Fashion_20240105,Fashion,38.1
2024-01-05,Grocery_20240105,Grocery,99.55
2024-01-05,Home_Kitchen_20240105,Home & Kitchen,97.39
2024-01-05,Sports_20240105,Sports,130.5
2024-01-05,Toys_20240105,Toys,102.65
2024-01-06,Beauty_20240106,Beauty,52.96
2024-01-06,Books_20240106,Books,0.0
2024-01-06,Electronics_20240106,Electronics,88.17
2024-01-06,Fashion_20240106,Fashion,89.87
2024-01-06,Grocery_20240106,Grocery,24.13
2024-01-06,Home_Kitchen_20240106,Home & Kitchen,138.73
2024-01-06,Sports_20240106,Sports,40.18
2024-01-06,Toys_20240106,Toys,0.0
2024-01-07,Beauty_20240107,Beauty,21.1
2024-01-07,Books_20240107,Books,0.0
2024-01-07,Electronics_20240107,Electronics,43.49
2024-01-07,Fashion_20240107,Fashion,0.0
2024-01-07,Grocery_20240107,Grocery,5.54
2024-01-07,Home_Kitchen_20240107,Home & Kitchen,0.0
2024-01-07,Sports_20240107,Sports,16.17
2024-01-07,Toys_20240107,Toys,3.81
2024-01-08,Beauty_20240108,Beauty,11.47
2024-01-08,Books_20240108,Books,50.23
2024-01-08,Electronics_20240108,Electronics,39.43
2024-01-08,Fashion_20240108,Fashion,0.0
2024-01-08,Grocery_20240108,Grocery,9.59
2024-01-08,Home_Kitchen_20240108,Home & Kitchen,69.59
2024-01-08,Sports_20240108,Sports,129.35
2024-01-08,Toys_20240108,Toys,0.0
2024-01-09,Beauty_20240109,Beauty,71.4
2024-01-09,Books_20240109,Books,12.4
2024-01-09,Electronics_20240109,Electronics,77.45
2024-01-09,Fashion_20240109,Fashion,248.3
2024-01-09,Grocery_20240109,Grocery,33.29
2024-01-09,Home_Kitchen_20240109,Home & Kitchen,0.0
2024-01-09,Sports_20240109,Sports,0.0
2024-01-09,Toys_20240109,Toys,0.0
2024-01-10,Beauty_20240110,Beauty,25.45
2024-01-10,Books_20240110,Books,11.31
2024-01-10,Electronics_20240110,Electronics,92.25
2024-01-10,Fashion_20240110,Fashion,117.64
2024-01-10,Grocery_20240110,Grocery,10.38
2024-01-10,Home_Kitchen_20240110,Home & Kitchen,213.64
2024-01-10,Sports_20240110,Sports,146.87
2024-01-10,Toys_20240110,Toys,5.08
2024-01-11,Beauty_20240111,Beauty,34.07
2024-01-11,Books_20240111,Books,43.41
2024-01-11,Electronics_20240111,Electronics,91.68
2024-01-11,Fashion_20240111,Fashion,0.0
2024-01-11,Grocery_20240111,Grocery,0.0
2024-01-11,Home_Kitchen_20240111,Home & Kitchen,79.91
2024-01-11,Sports_20240111,Sports,27.63
